ID 90minut,ID transfermarkt,Imie i Nazwisko,Pozycja,Transfer: sezon,Transfer: data,Transfer: z klubu,Transfer: do klubu,Transfer: wartość rynkowa,Transfer: cena,Sezon_young,Transfer po utracie statusu
29920,384461,Jakub Moder,Środkowy pomocnik,2020/2021,04.10.2020,Lech Poznań,Brighton,3000000,11000000,2020/2021,False
29963,526148,Daniel Smuga,Lewy skrzydłowy,2019/2020,10.08.2019,Górnik Zabrze,M. Legnica II,250000,?,2018/2019,False
30084,382429,Bartosz Slisz,Defensywny pomocnik,2019/2020,28.02.2020,Zagłębie Lubin,Legia Warszawa,1500000,1500000,2020/2021,False
32179,387234,Szymon Żurkowski,Środkowy pomocnik,2018/2019,28.01.2019,Górnik Zabrze,AC Florenz,4000000,4500000,2018/2019,False
32220,452447,Maciej Ambrosiewicz,Defensywny pomocnik,2020/2021,01.01.2021,Wisła Płock,Zagłębie Sosnowiec,250000,za darmo,2019/2020,True
32220,452447,Maciej Ambrosiewicz,Defensywny pomocnik,2019/2020,21.08.2019,Górnik Zabrze,Wisła Płock,350000,35000,2019/2020,False
33225,345458,Sebastian Walukiewicz,Prawy obrońca,2018/2019,15.01.2019,Pogoń Szczecin,Cagliari,200000,3500000,2018/2019,False
33229,454386,Adrian Benedyczak,Lewy skrzydłowy,2021/2022,01.07.2021,Pogoń Szczecin,Parma Calcio,500000,2400000,2020/2021,False
34382,458717,Jan Los,Środkowy napastnik,2020/2021,01.08.2020,Arka Gdynia,Karriereende,-,-,2019/2020,False
34440,470375,Mateusz Zukowski,Lewy skrzydłowy,2021/2022,31.01.2022,Lechia Gdańsk,Glasgow Rangers,2500000,595000,2022/2023,False
34477,453156,Wiktor Długosz,Prawy pomocnik,2020/2021,04.02.2021,Korona Kielce,Raków Częstochowa,75000,45000,2021/2022,False
27206,387529,Jakub Łabojko,Defensywny pomocnik,2020/2021,18.09.2020,Śląsk Wrocław,Brescia Calcio,450000,600000,2019/2020,True
27730,345437,Mateusz Lis,Bramkarz,2018/2019,01.07.2018,Lech Poznań,Wisła Kraków,50000,125000,2019/2020,False
28329,383027,Adrian Klimczak,Lewy obrońca,2018/2019,01.01.2019,Arka Gdynia,ŁKS Łódź,100000,za darmo,2019/2020,False
29304,374562,Sebastian Milewski,Defensywny pomocnik,2019/2020,01.07.2019,Zagłębie Sosnowiec,Piast Gliwice,150000,100000,2019/2020,False
29426,448671,Wiktor Biedrzycki,Środkowy obrońca,2018/2019,19.02.2019,Górnik Zabrze,Wigry Suwalki,100000,za darmo,2018/2019,False
30898,346546,Radoslaw Majecki,Bramkarz,2019/2020,29.01.2020,Legia Warszawa,AS Monaco,5000000,7000000,2019/2020,False
31875,345454,Mateusz Skrzypczak,Środkowy obrońca,2022/2023,01.07.2022,Lech Poznań,Jagiellonia Białystok,100000,za darmo,2021/2022,True
31931,433601,Hubert Sobol,Środkowy napastnik,2021/2022,01.07.2021,Lech Poznań,Wisła Kraków,250000,za darmo,2021/2022,False
31931,433601,Hubert Sobol,Środkowy napastnik,2019/2020,01.01.2020,Lech Poznań,Lech Posen II,350000,-,2021/2022,False
33267,555106,Filip Marchwinski,Ofensywny pomocnik,2024/2025,26.07.2024,Lech Poznań,Lecce,6000000,3000000,2023/2024,True
33317,454388,Maciej Żurawski,Ofensywny pomocnik,2022/2023,20.07.2022,Pogoń Szczecin,Warta Poznań,500000,?,2021/2022,True
33376,466224,Kacper Michalski,Prawy pomocnik,2022/2023,01.07.2022,Górnik Zabrze,Ruch Chorzów,-,za darmo,2021/2022,True
33376,466224,Kacper Michalski,Prawy pomocnik,2019/2020,16.07.2019,Górnik Zabrze,GKS Katowice,100000,za darmo,2021/2022,False
33387,257221,Oktawian Skrzecz,Napastnik,2020/2021,23.10.2020,Korona Kielce,Stal Rzeszow,100000,za darmo,2019/2020,True
33387,257221,Oktawian Skrzecz,Napastnik,2018/2019,20.07.2018,Śląsk Wrocław,Korona Kielce,100000,za darmo,2019/2020,False
33409,385197,Olaf Nowak,Ofensywny pomocnik,2020/2021,01.08.2020,Zagłębie Lubin,Zagłębie Sosnowiec,200000,za darmo,2019/2020,True
33587,272471,Michael Olczyk,Ofensywny pomocnik,2020/2021,01.07.2020,Arka Gdynia,Vereinslos,100000,-,2019/2020,True
34766,433602,Pawel Sokol,Bramkarz,2020/2021,07.08.2020,Korona Kielce,Chojniczanka,150000,za darmo,2019/2020,False
34795,532169,Lukasz Poreba,Środkowy pomocnik,2022/2023,01.07.2022,Zagłębie Lubin,RC Lens,1800000,350000,2021/2022,True
35082,577588,Maciej Twarowski,Środkowy napastnik,2023/2024,01.07.2023,Jagiellonia Białystok,Jagiellonia II,25000,-,2022/2023,True
35309,598274,Marcel Zapytowski,Bramkarz,2019/2020,02.01.2020,Wisła Płock,Resovia Rzeszow,100000,5000,2022/2023,False
35316,432044,Mateusz Sopocko,Ofensywny pomocnik,2020/2021,27.01.2021,Lechia Gdańsk,Warta Poznań,150000,za darmo,2020/2021,False
35318,528369,Maciej Sliwa,Ofensywny pomocnik,2019/2020,01.07.2019,Wisła Kraków,Miedź Legnica,50000,za darmo,2022/2023,False
36136,554284,Kacper Kozlowski,Ofensywny pomocnik,2021/2022,05.01.2022,Pogoń Szczecin,Brighton,10000000,11000000,2021/2022,False
36232,555112,Mateusz Stępień,Prawy skrzydłowy,2024/2025,06.09.2024,Stal Mielec,Puszcza Niepołomice,250000,?,2023/2024,True
36236,553757,Aleksander Buksa,Środkowy napastnik,2021/2022,01.07.2021,Wisła Kraków,Genua CFC,1500000,za darmo,2024/2025,False
36237,528373,Daniel Morys,Prawy obrońca,2020/2021,18.09.2020,Wisła Kraków,Garbarnia,100000,za darmo,2019/2020,False
17737,225415,Adam Pazio,Prawy obrońca,2014/2015,01.07.2014,Lechia Gdańsk,Podbeskidzie Bielsko-Biała,400000,za darmo,2013/2014,True
21495,248732,Pawel Dawidowicz,Środkowy obrońca,2014/2015,01.07.2014,Lechia Gdańsk,Benfica B,1200000,2500000,2013/2014,False
24522,264267,Michal Bartkowiak,Lewy skrzydłowy,2016/2017,21.07.2016,Śląsk Wrocław,Miedź Legnica,150000,za darmo,2015/2016,False
24585,279378,Przemysław Lech,Środkowy obrońca,2015/2016,01.07.2015,Wisła Kraków,Wisła Płock,50000,za darmo,2014/2015,False
22374,296840,Jakub Mordec,Defensywny pomocnik,2016/2017,31.08.2016,Wisła Kraków,Karpaty Krosno,50000,za darmo,2015/2016,False
29785,386233,Piotr Ponski,Środkowy napastnik,2017/2018,15.02.2018,Korona Kielce,Wisla Sand.,50000,za darmo,2017/2018,False
31867,345451,Marcin Grabowski,Lewy obrońca,2020/2021,28.08.2020,Wisła Kraków,Termalica Bruk-Bet Nieciecza,150000,za darmo,2021/2022,False
33610,475802,Bartosz Bida,Lewy skrzydłowy,2023/2024,01.07.2023,Jagiellonia Białystok,Podbeskidzie Bielsko-Biała,300000,za darmo,2022/2023,True
33612,431482,Mikolaj Nawrocki,Środkowy pomocnik,2020/2021,01.08.2020,Jagiellonia Białystok,Jagiellonia II,50000,-,2019/2020,False
36320,554944,Kacper Bieszczad,Bramkarz,2024/2025,03.02.2025,Zagłębie Lubin,Vizela,350000,za darmo,2023/2024,True
35100,587156,Maciej Bortniczuk,Lewy skrzydłowy,2023/2024,20.07.2023,Jagiellonia Białystok,Wisla Pulawy,150000,za darmo,2022/2023,True
36368,453141,Mateusz Wyjadłowski,Ofensywny pomocnik,2022/2023,01.03.2023,Jagiellonia Białystok,Wisla Sand.,25000,za darmo,2021/2022,True
43557,910764,Gabriel Kirejczyk,Środkowy napastnik,2024/2025,30.08.2024,Piast Gliwice,SKN St. Pölten,200000,?,2024/2025,False
36517,661369,Mateusz Chmarek,Ofensywny pomocnik,2024/2025,01.07.2024,Górnik Zabrze,Ruch Chorzów,150000,28000,2023/2024,False
48487,973575,Guilherme Zimovski,Prawy skrzydłowy,2025/2026,17.11.2025,Radomiak Radom,Vereinslos,100000,-,2024/2025,False
47282,1080772,Adam Kardas,Defensywny pomocnik,2025/2026,01.01.2026,Lechia Gdańsk,Vereinslos,-,-,2024/2025,False
41491,607450,Kelechukwu Ibe-Torti,Prawy skrzydłowy,2024/2025,23.01.2025,ŁKS Łódź,Stalowa Wola,75000,za darmo,2023/2024,True
