ID 90minut,ID transfermarkt,Imie i Nazwisko,Pozycja,Transfer: sezon,Transfer: data,Transfer: z klubu,Transfer: do klubu,Transfer: wartość rynkowa,Transfer: cena,Sezon_young,Transfer po utracie statusu
34794,345449,Kamil Piątkowski,Środkowy obrońca,2021/2022,01.07.2021,Raków Częstochowa,RB Salzburg,5000000,6000000,2020/2021,False
34794,345449,Kamil Piątkowski,Środkowy obrońca,2019/2020,01.07.2019,Zagłębie Lubin,Raków Częstochowa,50000,za darmo,2020/2021,False
35081,553562,Karol Struski,Defensywny pomocnik,2022/2023,01.07.2022,Jagiellonia Białystok,Aris Limassol,450000,400000,2021/2022,False
35088,605746,Aleksander Paluszek,Środkowy obrońca,2023/2024,01.08.2023,Górnik Zabrze,Śląsk Wrocław,500000,?,2022/2023,True
35093,605748,Marcin Szpakowski,Defensywny pomocnik,2023/2024,01.07.2023,Korona Kielce,GKS Tychy,300000,?,2022/2023,True
35093,605748,Marcin Szpakowski,Defensywny pomocnik,2020/2021,24.02.2021,Śląsk Wrocław,Korona Kielce,100000,?,2022/2023,False
35095,608923,Mikolaj Wasilewski,Ofensywny pomocnik,2020/2021,01.08.2020,Jagiellonia Białystok,Jagiellonia II,50000,-,2019/2020,False
35191,535551,Bartosz Bialek,Środkowy napastnik,2020/2021,19.08.2020,Zagłębie Lubin,VfL Wolfsburg,3000000,5000000,2019/2020,False
35629,454377,Wojciech Blyszko,Środkowy obrońca,2021/2022,01.07.2021,Jagiellonia Białystok,Motor Lublin,100000,za darmo,2020/2021,True
36282,628624,Adam Ratajczyk,Ofensywny pomocnik,2023/2024,01.07.2023,Zagłębie Lubin,Lubin II,450000,-,2022/2023,False
36282,628624,Adam Ratajczyk,Ofensywny pomocnik,2020/2021,02.10.2020,ŁKS Łódź,Zagłębie Lubin,250000,350000,2022/2023,False
36418,504601,Jakub Sypek,Ofensywny pomocnik,2022/2023,12.07.2022,Zagłębie Lubin,Widzew Łódź,75000,za darmo,2022/2023,False
36420,554280,Radoslaw Cielemecki,Ofensywny pomocnik,2025/2026,30.07.2025,Radomiak Radom,NKP Podhale,75000,za darmo,2024/2025,True
36544,407733,Pawel Zuk,Prawy obrońca,2020/2021,01.01.2021,Wisła Płock,Vereinslos,100000,-,2020/2021,False
36544,407733,Pawel Zuk,Prawy obrońca,2020/2021,21.07.2020,Lechia Gdańsk,Wisła Płock,100000,50000,2020/2021,False
36598,554288,Ariel Mosór,Środkowy obrońca,2024/2025,23.08.2024,Piast Gliwice,Raków Częstochowa,2000000,750000,2024/2025,False
36598,554288,Ariel Mosór,Środkowy obrońca,2021/2022,01.07.2021,Legia Warszawa,Piast Gliwice,150000,25000,2024/2025,False
36633,554282,Szymon Wlodarczyk,Środkowy napastnik,2023/2024,07.07.2023,Górnik Zabrze,Sturm Graz,2500000,2200000,2022/2023,False
36633,554282,Szymon Wlodarczyk,Środkowy napastnik,2022/2023,01.07.2022,Legia Warszawa,Górnik Zabrze,300000,15000,2022/2023,False
36647,555056,Iwo Kaczmarski,Defensywny pomocnik,2022/2023,01.07.2022,Raków Częstochowa,FC Empoli U19,400000,700000,2021/2022,False
36647,555056,Iwo Kaczmarski,Defensywny pomocnik,2020/2021,18.01.2021,Korona Kielce,Raków Częstochowa,150000,350000,2021/2022,False
37127,667825,Aleksander Stawiarz,Środkowy napastnik,2020/2021,01.08.2020,Jagiellonia Białystok,Jagiellonia II,50000,-,2019/2020,False
37692,628556,Krzysztof Toporkiewicz,Ofensywny pomocnik,2024/2025,17.07.2024,Jagiellonia Białystok,KKS Kalisz,50000,za darmo,2023/2024,True
37747,699442,Kacper Urbański,Środkowy pomocnik,2021/2022,01.07.2021,Lechia Gdańsk,Bologna U19,200000,750000,2020/2021,False
37774,699418,Jakub Kaluzinski,Defensywny pomocnik,2023/2024,14.07.2023,Lechia Gdańsk,Antalyaspor,500000,za darmo,2022/2023,False
41410,699400,Xavier Dziekoński,Bramkarz,2024/2025,01.07.2024,Raków Częstochowa,Korona Kielce,800000,130000,2024/2025,False
41410,699400,Xavier Dziekoński,Bramkarz,2022/2023,12.07.2022,Jagiellonia Białystok,Raków Częstochowa,800000,150000,2024/2025,False
41411,577595,Mateusz Kaczmarek,Ofensywny pomocnik,2020/2021,01.01.2021,Raków Częstochowa,Miedź Legnica,50000,za darmo,2019/2020,False
29924,384524,Serafin Szota,Środkowy obrońca,2019/2020,01.08.2019,Zagłębie Lubin,Wisła Kraków,500000,za darmo,2020/2021,False
33261,407080,Bartlomiej Burman,Prawy pomocnik,2022/2023,01.07.2022,Warta Poznań,Skra Czesto.,150000,za darmo,2021/2022,False
34276,401608,Łukasz Zjawiński,Środkowy napastnik,2021/2022,30.07.2021,Stal Mielec,Lechia Gdańsk,400000,za darmo,2022/2023,False
34672,573968,Krzysztof Kubica,Defensywny pomocnik,2022/2023,29.08.2022,Górnik Zabrze,Benevento,2000000,1200000,2021/2022,True
34714,554977,Kacper Sadłocha,Ofensywny pomocnik,2022/2023,01.07.2022,Stal Mielec,Stal Rzeszow,150000,za darmo,2021/2022,False
35576,385485,Szymon Stasik,Ofensywny pomocnik,2021/2022,01.07.2021,Stal Mielec,Podbeskidzie Bielsko-Biała,150000,za darmo,2020/2021,True
35590,425739,Aleks Ławniczak,Środkowy obrońca,2021/2022,06.01.2022,Warta Poznań,Zagłębie Lubin,800000,?,2020/2021,True
36277,583560,Krystian Wachowiak,Lewy skrzydłowy,2022/2023,06.02.2023,Wisła Kraków,Stal Rzeszow,100000,40000,2021/2022,False
36390,658730,Kajetan Szmyt,Ofensywny pomocnik,2024/2025,01.07.2024,Warta Poznań,Zagłębie Lubin,1000000,115000,2023/2024,True
36532,407745,Maik Nawrocki,Środkowy obrońca,2023/2024,26.07.2023,Legia Warszawa,Celtic Glasgow,4000000,5000000,2022/2023,True
36588,401598,Lukasz Lakomy,Środkowy pomocnik,2023/2024,01.07.2023,Zagłębie Lubin,BSC Young Boys,2000000,1400000,2022/2023,True
36668,698957,Krystian Palacz,Lewy obrońca,2022/2023,01.07.2022,Lech Poznań,Lech Posen II,200000,-,2024/2025,False
36713,697468,Mariusz Fornalczyk,Lewy skrzydłowy,2025/2026,01.07.2025,Korona Kielce,Widzew Łódź,1500000,1500000,2024/2025,True
36713,697468,Mariusz Fornalczyk,Lewy skrzydłowy,2023/2024,08.01.2024,Pogoń Szczecin,Korona Kielce,500000,25000,2024/2025,False
37661,536846,Javier Ajenjo,Środkowy pomocnik,2021/2022,01.07.2021,Piast Gliwice,Śląsk Wrocław,100000,za darmo,2022/2023,False
41385,697554,Jakub Myszor,Ofensywny pomocnik,2023/2024,12.01.2024,Cracovia,Raków Częstochowa,500000,70000,2023/2024,False
41639,727114,Jakub Gut,Środkowy napastnik,2021/2022,01.07.2021,Cracovia,Cracovia II,50000,-,2020/2021,False
41699,500246,Szymon Pankiewicz,Prawy obrońca,2021/2022,01.07.2021,Jagiellonia Białystok,Jagiellonia II,-,-,2020/2021,False
42561,751104,Milosz Matysik,Środkowy obrońca,2023/2024,01.01.2024,Jagiellonia Białystok,Aris Limassol,1500000,500000,2023/2024,False
42591,844746,Przemysław Maj,Prawy pomocnik,2024/2025,23.01.2025,Stal Mielec,KS Wiazownica,-,za darmo,2023/2024,False
42763,554969,Lukasz Bejger,Środkowy obrońca,2024/2025,31.01.2025,Śląsk Wrocław,NK Celje,500000,100000,2023/2024,True
43038,557566,Bartłomiej Kręcichwost,Środkowy napastnik,2021/2022,30.07.2021,Podbeskidzie Bielsko-Biała,Znicz Pruszkow,100000,za darmo,2020/2021,True
33262,407094,Szymon Czyż,Defensywny pomocnik,2021/2022,10.01.2022,Warta Poznań,Raków Częstochowa,500000,?,2022/2023,False
33336,404055,Mateusz Kochalski,Bramkarz,2022/2023,01.07.2022,Legia Warszawa,Stal Mielec,300000,100000,2021/2022,True
34549,554976,Oskar Krzyżak,Środkowy obrońca,2024/2025,01.07.2024,Raków Częstochowa,Pogon Siedlce,50000,za darmo,2023/2024,True
34550,622369,Jakub Nowakowski,Ofensywny pomocnik,2023/2024,01.07.2023,Radomiak Radom,Termalica Bruk-Bet Nieciecza,200000,22000,2022/2023,True
34747,531538,Jędrzej Grobelny,Bramkarz,2021/2022,01.07.2021,Pogoń Szczecin,Warta Poznań,150000,za darmo,2022/2023,False
35121,549312,Kryspin Szcześniak,Prawy obrońca,2023/2024,01.07.2023,Pogoń Szczecin,Górnik Zabrze,400000,?,2022/2023,True
36613,570466,Mateusz Legowski,Defensywny pomocnik,2023/2024,17.08.2023,Pogoń Szczecin,US Salernitana,1800000,3000000,2023/2024,False
36635,577597,Adrian Bukowski,Defensywny pomocnik,2024/2025,29.07.2024,Śląsk Wrocław,Stal Mielec,350000,?,2024/2025,False
36642,673853,Jakub Sangowski,Prawy skrzydłowy,2024/2025,11.07.2024,Warta Poznań,Vereinslos,-,-,2023/2024,True
36836,531394,Michal Golinski,Prawy pomocnik,2022/2023,01.07.2022,Górnik Łęczna,Vereinslos,100000,-,2021/2022,True
41574,699646,Adrian Dziedzic,Defensywny pomocnik,2022/2023,01.01.2023,Górnik Zabrze,Gornik II,50000,-,2021/2022,False
41578,798319,Jakub Szymański,Środkowy obrońca,2022/2023,21.02.2023,Górnik Zabrze,Wisła Płock,300000,?,2022/2023,False
41631,631442,Jakub Antczak,Ofensywny pomocnik,2025/2026,01.07.2025,Lech Poznań,Lech Posen II,250000,-,2024/2025,False
42084,555062,Tomasz Pieńko,Ofensywny pomocnik,2025/2026,25.07.2025,Zagłębie Lubin,Raków Częstochowa,2000000,1750000,2024/2025,False
42085,618436,Oliwier Sławiński,Ofensywny pomocnik,2023/2024,24.08.2023,Zagłębie Lubin,LKS Lodz II,150000,?,2023/2024,False
42560,819692,Jakub Lutostanski,Środkowy napastnik,2022/2023,01.07.2022,Jagiellonia Białystok,Śląsk Wrocław,200000,?,2021/2022,False
42771,858521,Michael Wyparlo,Środkowy obrońca,2022/2023,10.03.2023,Stal Mielec,New Mexico Utd.,25000,?,2021/2022,False
42841,718161,Dawid Tkacz,Ofensywny pomocnik,2025/2026,01.07.2025,Widzew Łódź,Górnik Łęczna,200000,20000,2024/2025,False
43678,826795,Dariusz Stalmach,Środkowy pomocnik,2022/2023,31.08.2022,Górnik Zabrze,AC Mailand U19,500000,700000,2022/2023,False
43921,618410,Tomasz Walczak,Środkowy napastnik,2023/2024,01.07.2023,Wisła Płock,Raków Częstochowa,50000,za darmo,2024/2025,False
44510,986794,David Poreba,Ofensywny pomocnik,2023/2024,01.07.2024,Stal Mielec,Chicago II,50000,za darmo,2022/2023,False
44514,890272,Karol Borys,Ofensywny pomocnik,2023/2024,01.02.2024,Śląsk Wrocław,KVC Westerlo,1000000,2000000,2023/2024,False
33269,407089,Wiktor Plesnierowicz,Środkowy obrońca,2020/2021,03.08.2020,Lech Poznań,Miedź Legnica,150000,50000,2022/2023,False
36619,700951,Ignacy Dawid,Defensywny pomocnik,2024/2025,01.07.2024,Widzew Łódź,Vereinslos,50000,-,2023/2024,False
37141,621424,Bartosz Klebaniuk,Bramkarz,2024/2025,01.07.2024,Pogoń Szczecin,Znicz Pruszkow,200000,za darmo,2023/2024,True
37422,712378,Albert Posiadala,Bramkarz,2023/2024,01.02.2024,Radomiak Radom,Molde FK,500000,500000,2023/2024,False
37501,632254,Dawid Wieckowski,Prawy obrońca,2023/2024,27.07.2023,Korona Kielce,Sokol Sieniawa,-,za darmo,2022/2023,True
41461,579447,Michal Stachera,Prawy pomocnik,2023/2024,16.02.2024,Cracovia,Wislanie J.,25000,za darmo,2022/2023,True
41501,797607,Dawid Baldyga,Środkowy napastnik,2023/2024,25.07.2023,Śląsk Wrocław,Polonia Sroda,25000,za darmo,2022/2023,False
41579,798158,Nikodem Zielonka,Lewy skrzydłowy,2025/2026,18.07.2025,Górnik Zabrze,Pogon Siedlce,200000,za darmo,2024/2025,False
41632,728420,Maksymilian Pingot,Środkowy obrońca,2025/2026,01.07.2025,Lech Poznań,Górnik Zabrze,300000,200000,2024/2025,True
42868,540630,Jakub Ojrzynski,Bramkarz,2019/2020,01.07.2019,Legia Warszawa,Liverpool U18,-,333000,2022/2023,False
43044,702690,Wiktor Kaminski,Środkowy napastnik,2024/2025,29.07.2024,Warta Poznań,Sl. Wroclaw II,100000,za darmo,2023/2024,False
43044,702690,Wiktor Kaminski,Środkowy napastnik,2022/2023,22.02.2023,Legia Warszawa,Warta Poznań,-,?,2023/2024,False
43435,848943,Jakub Jędrasik,Ofensywny pomocnik,2023/2024,24.01.2024,Legia Warszawa,Termalica Bruk-Bet Nieciecza,300000,?,2022/2023,False
44021,849472,Filip Zawadzki,Ofensywny pomocnik,2023/2024,01.07.2023,Widzew Łódź,Widzew II,50000,-,2022/2023,False
45010,902573,Mateusz Kowalski,Środkowy napastnik,2022/2023,31.01.2023,Jagiellonia Białystok,Parma U19,300000,1000000,2022/2023,False
45096,929423,Jakub Lewicki,Lewy obrońca,2024/2025,06.09.2024,Jagiellonia Białystok,Piast Gliwice,1000000,?,2024/2025,False
45252,1058821,Adam Debinski,Lewy pomocnik,2023/2024,21.07.2023,Widzew Łódź,KKS Kalisz,25000,za darmo,2022/2023,False
45256,618377,Krystian Okoniewski,Środkowy napastnik,2024/2025,30.08.2024,Radomiak Radom,Puszcza Niepołomice,200000,?,2024/2025,False
45256,618377,Krystian Okoniewski,Środkowy napastnik,2022/2023,18.02.2023,Lechia Gdańsk,Radomiak Radom,25000,?,2024/2025,False
45413,1038750,Jakub Paszkowski,Defensywny pomocnik,2024/2025,24.07.2024,Warta Poznań,Wigry Suwalki,50000,za darmo,2023/2024,False
45701,895298,Dawid Drachal,Ofensywny pomocnik,2025/2026,01.07.2025,Raków Częstochowa,Jagiellonia Białystok,700000,?,2024/2025,False
45701,895298,Dawid Drachal,Ofensywny pomocnik,2023/2024,01.07.2023,Miedź Legnica,Raków Częstochowa,500000,600000,2024/2025,False
47021,974365,Filip Rózga,Ofensywny pomocnik,2025/2026,01.07.2025,Cracovia,Sturm Graz,2500000,2000000,2024/2025,False
36494,600169,Adam Kramarz,Prawy skrzydłowy,2024/2025,01.07.2024,Puszcza Niepołomice,Czarni Polaniec,25000,za darmo,2023/2024,True
36494,600169,Adam Kramarz,Prawy skrzydłowy,2021/2022,13.08.2021,Stal Mielec,Czarni Polaniec,50000,za darmo,2023/2024,False
36629,826222,Kacper Skwierczynski,Ofensywny pomocnik,2024/2025,28.02.2025,Ruch Chorzów,Olimpia Elblag,25000,za darmo,2023/2024,False
36660,672287,Filip Borowski,Prawy obrońca,2024/2025,01.07.2024,Lech Poznań,Lech Posen II,300000,-,2023/2024,False
36866,605779,Kewin Komar,Bramkarz,2025/2026,02.08.2025,Puszcza Niepołomice,AEK Larnaka,400000,?,2024/2025,True
37065,699488,Dominik Marczuk,Prawy skrzydłowy,2024/2025,14.08.2024,Jagiellonia Białystok,Salt Lake,3500000,1500000,2024/2025,False
37837,747746,Krzysztof Wróblewski,Bramkarz,2024/2025,10.07.2024,Puszcza Niepołomice,Chrobry Glogow,75000,?,2023/2024,True
42414,727119,Szymon Weirauch,Bramkarz,2024/2025,01.07.2024,Zagłębie Lubin,Lechia Gdańsk,350000,225000,2024/2025,False
42996,875035,Tomasz Wójtowicz,Prawy obrońca,2024/2025,24.07.2024,Ruch Chorzów,Lechia Gdańsk,650000,?,2024/2025,False
43137,846302,Jordan Majchrzak,Środkowy napastnik,2025/2026,08.08.2025,Legia Warszawa,Stuttgart II,300000,150000,2024/2025,False
43286,700804,Antoni Klimek,Lewy skrzydłowy,2024/2025,23.01.2025,Widzew Łódź,Puszcza Niepołomice,500000,12000,2023/2024,True
43465,959916,Patryk Malamis,Ofensywny pomocnik,2024/2025,09.07.2024,Raków Częstochowa,Górnik Łęczna,25000,za darmo,2023/2024,False
44322,633227,Olaf Korczakowski,Lewy skrzydłowy,2025/2026,01.07.2025,Pogoń Szczecin,Puszcza Niepołomice,150000,za darmo,2024/2025,True
44484,914789,Grzegorz Glapka,Prawy skrzydłowy,2024/2025,30.07.2024,ŁKS Łódź,Sparta Katowice,50000,za darmo,2023/2024,True
45067,991455,Filip Rejczyk,Defensywny pomocnik,2025/2026,18.07.2025,Śląsk Wrocław,GKS Katowice,500000,za darmo,2024/2025,False
45067,991455,Filip Rejczyk,Defensywny pomocnik,2024/2025,01.07.2024,Legia Warszawa,Śląsk Wrocław,700000,za darmo,2024/2025,False
45100,742945,Damian Wojdakowski,Ofensywny pomocnik,2024/2025,23.01.2025,Jagiellonia Białystok,U. Skierniewice,-,za darmo,2023/2024,False
45196,1025972,Jan Labedzki,Ofensywny pomocnik,2024/2025,29.08.2024,ŁKS Łódź,Bologna U20,200000,?,2023/2024,False
45322,959917,Bartłomiej Barański,Ofensywny pomocnik,2024/2025,13.01.2025,Ruch Chorzów,Lech Poznań,450000,23000,2023/2024,False
45670,1046867,Jan Ziolkowski,Środkowy obrońca,2025/2026,29.08.2025,Legia Warszawa,AS Rom,4000000,6600000,2024/2025,False
47031,951433,Mike Huras,Środkowy napastnik,2024/2025,01.10.2024,Ruch Chorzów,Vereinslos,200000,-,2023/2024,False
47229,1160473,Filip Przybulek,Ofensywny pomocnik,2024/2025,01.07.2024,Widzew Łódź,Widzew II,100000,-,2023/2024,False
48486,1143311,Fabian Bzdyl,Ofensywny pomocnik,2025/2026,05.09.2025,Cracovia,MSK Zilina,600000,?,2024/2025,False
48611,1146130,Alex Cetnar,Defensywny pomocnik,2024/2025,26.02.2025,Stal Mielec,Legia II,50000,?,2023/2024,False
34573,554287,Bartosz Baranowicz,Defensywny pomocnik,2025/2026,24.07.2025,GKS Katowice,GKS Jastrzebie,150000,za darmo,2024/2025,True
42994,694428,Kacper Łukasiak,Defensywny pomocnik,2025/2026,01.07.2025,Pogoń Szczecin,GKS Katowice,450000,za darmo,2024/2025,True
43136,807782,Maciej Kikolski,Bramkarz,2025/2026,01.07.2025,Legia Warszawa,Widzew Łódź,700000,300000,2024/2025,False
43556,910780,Jakub Mądrzyk,Bramkarz,2025/2026,26.01.2026,Raków Częstochowa,GKS Tychy,350000,100000,2024/2025,True
45070,631440,Patryk Romanowski,Lewy pomocnik,2025/2026,04.07.2025,Motor Lublin,Resovia Rzeszow,-,za darmo,2024/2025,False
47066,1073747,Dominik Sarapata,Środkowy pomocnik,2025/2026,01.07.2025,Górnik Zabrze,Kopenhagen,2000000,4000000,2024/2025,False
47090,954194,Oskar Lachowicz,Ofensywny pomocnik,2025/2026,01.07.2025,Cracovia,Cracovia II,50000,-,2024/2025,False
47136,1162012,Oskar Pietuszewski,Lewy skrzydłowy,2025/2026,07.01.2026,Jagiellonia Białystok,FC Porto,12000000,10000000,2024/2025,False
47531,1085939,Antoni Klukowski,Prawy skrzydłowy,2025/2026,01.07.2025,Pogoń Szczecin,Widzew Łódź,300000,za darmo,2024/2025,False
47647,863204,Maxi Oyedele,Defensywny pomocnik,2025/2026,16.07.2025,Legia Warszawa,R. Straßburg,4000000,6000000,2024/2025,False
50084,1249778,Adam Basse,Środkowy napastnik,2024/2025,24.02.2025,Śląsk Wrocław,Raków Częstochowa,250000,250000,2024/2025,False
50320,1182056,Daniel Gryzio,Środkowy napastnik,2025/2026,01.07.2025,Widzew Łódź,Widzew II,25000,-,2024/2025,False
